permeability
testname,permeability
sample,kusumgar 3710
samplediameter,7.0
thikness,0.016
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3710
duration,5 min:26 sec
durationsecond,326
testtime,13:56:57
testdate,21/11/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,Fibrous
splate,large
dfloworiginal,0.0,1.1571424938328119,1.2080059001551333,173.01187660537624,186.261793952341,220.25126522723227,249.5358714173088,277.3835863787798,304.163169807482,330.79016301721725,357.0611123826963,383.34477759975584,409.37412578520383,435.44162152539354,461.1022100150047,487.4494544899672,513.0337478700949,538.6180412502225,564.2913455914143,590.0790925968312,615.599806719056,641.6164390529234,666.9336995498589,692.7087307036952,718.1531497164365,743.8518857607894
dpressureoriginal,0.0,0.0030518043793392844,0.0031280994888227666,0.003509575036240177,0.005188067444876783,0.005264362554360266,0.005722133211261158,0.005874723430228122,0.0061799038681620505,0.006408789196612497,0.00686655985351339,0.0069428549629968715,0.007400625619897764,0.007629510948348211,0.00801098649576562,0.008392462043183032,0.008621347371633479,0.008926527809567406,0.009384298466468299,0.009613183794918746,0.009918364232852674,0.010299839780270085,0.010605020218204014,0.010986495765621425,0.011444266422522316,0.011749446860456245
dflow,63.23852259625275,99.63814102401193,239.17001166375542,287.70283623410097,330.1690577331533,366.56867616091245,372.6352792322057,409.0348976599648,427.2347068738444,457.5677222303103,487.90073758677636,506.10054680065605,530.3669590858287,566.7665775135879,584.9663867274676,609.2327990126403,639.5658143691063,663.8322266542791,694.1652420107451,730.5648604385042,754.831272723677
dpressure,0.0030518043793392844,0.003509575036240177,0.005264362554360266,0.005874723430228122,0.006408789196612497,0.00686655985351339,0.0069428549629968715,0.007400625619897764,0.007629510948348211,0.00801098649576562,0.008392462043183032,0.008621347371633479,0.008926527809567406,0.009384298466468299,0.009613183794918746,0.009918364232852674,0.010299839780270085,0.010605020218204014,0.010986495765621425,0.011444266422522316,0.011749446860456245
darcy,2.3422320333758533,3.209046253993982,5.135300077589824,5.535560612362986,5.823247871731195,6.034218528601214,6.066675552735065,6.2473641406967,6.329577448219244,6.456159842341257,6.5712347460885425,6.635391550832603,6.715816035412052,6.826644898308123,6.878101156081298,6.943015204348998,7.018748260661314,7.075411842362614,7.141814477168827,7.215654207073332,7.2616841685722475
darcy avg,6.36
pg1value,5
pg2value,5
pg1offset,0.0
pg2offset,0.0
frazierflow1,487.90073758677636
frazierpressure1,0.008392462043183032
frazier,53.58549
gurley,0.00463
gurleyflow,-9.223372036854776E16
frazierflow,1267.53
