permeability
testname,permeability
sample,kusumgar 3710
samplediameter,1.0
thikness,0.02
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3710
duration,5 min:26 sec
durationsecond,326
testtime,14:53:39
testdate,21/11/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,Fibrous
splate,small
dfloworiginal,0.0,1.118994939091071,134.8134584573129,187.12647185982044,221.16680654103405,250.40054932478827,277.48531319142444,304.8371099412528,331.00633249408713,357.0611123826963,383.44650441240054,409.53943185575133,435.5560641896188,461.52183311716385,487.1951374583556,512.9193052058696,538.5290302891584,564.4693675135424,590.2571145189594,615.5616591643142,641.8198926782127,666.6539508150861,692.6324355942118,717.9242643879861,743.7247272449836
dpressureoriginal,0.0,0.0021362630655374993,0.006103608758678569,0.006408789196612497,0.007171740291447318,0.007782101167315175,0.008621347371633479,0.009002822919050888,0.00976577401388571,0.010223544670786603,0.010833905546654459,0.011520561532005799,0.012359807736324101,0.012741283283741512,0.013504234378576334,0.01411459525444419,0.01487754634927901,0.015487907225146869,0.01625085831998169,0.016784924086366063,0.017624170290684367,0.018158236057068743,0.01892118715190356,0.019760433356221865,0.020523384451056687
dflow,24.359221113944244,195.70318265757373,250.77802743945466,299.73344502334874,348.6888626072429,373.16657139919,400.7039937901305,434.36084337905766,449.65941137402456,480.2565473639585,504.73425615590554,535.3313921458392,559.8091009377864,590.4062369277203,611.8242321206739,645.4810817096011,666.8990769025548,697.4962128924886,731.1530624814159,761.7501984713497
dpressure,0.0021362630655374993,0.006408789196612497,0.007782101167315175,0.009002822919050888,0.010223544670786603,0.010833905546654459,0.011520561532005799,0.012359807736324101,0.012741283283741512,0.013504234378576334,0.01411459525444419,0.01487754634927901,0.015487907225146869,0.01625085831998169,0.016784924086366063,0.017624170290684367,0.018158236057068743,0.01892118715190356,0.019760433356221865,0.020523384451056687
darcy,78.94409523093154,211.41358360690614,223.1020678753745,230.49817091530923,236.12804039346858,238.4672115146756,240.8025098360131,243.3043863640852,244.3326480835705,246.21488987517066,247.57417367710462,249.11643799083728,250.24084744124352,251.5275836080815,252.35869819584371,253.56296627198896,254.2713592579567,255.21397895702674,256.16678913933,256.96535934957393
darcy avg,244.28
pg1value,5
pg2value,5
pg1offset,0.0
pg2offset,0.0
frazierflow1,504.73425615590554
frazierpressure1,0.01411459525444419
frazier,1615.08575
gurley,1.6E-4
gurleyflow,1.6185596353654598E16
frazierflow,668.57
