permeability
testname,permeability
sample,iit naso
samplediameter,2.3
thikness,5.60
fluidname,Nitrogen
fluidvalue,0.0185
lotno,1
duration,111:36:29
durationsecond,401789
testtime,10:01:25
testdate,22/07/2019
customerid,N0048
indistry,Filtration
application,air filter
materialclassification,Fibrous
splate,Medium
darcy avg,328202.19
dflow,823.7687249763721,874.6848047601001,891.6464564589295,874.6848047601001,857.7179667390559,874.6848047601001,4690.082706154804,23784.147299188982,42453.49041982264,57335.70247859342,74720.29783357846,88571.28825214933,102514.52449410773,115893.6752382807,129663.85999040768,144043.1025837737,157213.3613673549
dpressure,0.0,2.2888532845044633E-4,3.0518043793392844E-4,2.2888532845044633E-4,1.5259021896696422E-4,2.2888532845044633E-4,0.018005645838101776,0.13229571984435798,0.31876096742198823,0.5484092469672694,0.8565651941710536,1.125658045319295,1.460059510185397,1.8406958113984893,2.2089723048752576,2.69039444571603,3.088426031891356
dfloworiginal,823.7687249763721,874.6848047601001,891.6464564589295,874.6848047601001,857.7179667390559,874.6848047601001,4690.082706154804,23784.147299188982,42453.49041982264,57335.70247859342,74720.29783357846,88571.28825214933,102514.52449410773,115893.6752382807,129663.85999040768,144043.1025837737,157213.3613673549
darcy,9771.968932580898,7328.976699435674,9771.968932580898,1986152.685547068,2760581.2234541043,155647.5899049644,66239.74788555704,47626.069265121725,38779.952669217644,31942.770807587644,28837.044554401502,25647.78019340582,23155.872415285743,21471.296984752276,19627.350015254156,18652.680224374035
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurley,13937.36
frazier,2241.2
