permeability
testname,permeability
sample,Kusumgar 3857
samplediameter,7.0
thikness,0.009
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3857
duration,1 min:46 sec
durationsecond,106
testtime,17:03:32
testdate,21/11/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,Fibrous
splate,small
dfloworiginal,0.0,2.6703288319218736,123.02586404211489,240.12614124767936,274.9802904300501,302.1794969609115,325.0934615091173,345.75672032756034,364.29643193204646,381.93331807431144,398.2859032069378,414.14257012792143,429.3125810635538,444.19012741283285,458.58447140204976,472.8007934691386,486.6737875435518,500.5086340632232,514.2544696218306,527.9112942193739,541.3519493400473,554.6527300933343,567.9535108466214,581.1907123420056,594.4406296889703,607.5888202232904,620.8896009765774,647.0842552325729,660.0925713995067,673.0754558632792,686.0710561786323,699.0539406424049,712.0876885124997,724.9942778667887,737.9135830726584
dpressureoriginal,0.0,0.002212558175020981,0.012512397955291066,0.015335317006179903,0.01617456321049821,0.017166399633783476,0.01808194094758526,0.01907377737087053,0.01991302357518883,0.02059967956054017,0.021515220874341955,0.022125581750209813,0.02281223773556115,0.02349889372091249,0.024338139925230793,0.024795910582131684,0.025482566567483024,0.026169222552834364,0.027008468757152668,0.027695124742504004,0.028458075837338826,0.029068436713206684,0.029831387808041506,0.030518043793392843,0.0311284046692607,0.03189135576409552,0.03341725795376516,0.0341039139391165,0.03471427481498436,0.03555352101930266,0.036240177004654005,0.03677424277103838,0.03761348897535668,0.038452735179674985,0.03906309605554284
dflow,9.797080306386015,272.73975464994743,309.4294301397468,347.6478421082877,378.22257168312035,396.56740942802,408.7973012579531,422.5559295666278,436.31455787530257,453.13065914146057,462.30307801391035,476.0617063225851,489.82033463125987,506.6364358974178,520.3950642060925,535.6824289935089,547.9123208234421,563.1996856108583,576.9583139195331,589.1882057494663,604.4755705368825,635.0503001117152,648.80892842039,661.0388202503232,677.854921516481,691.6135498251558,702.3147051763474,719.1308064425052,735.9469077086633,748.1767995385965
dpressure,0.002212558175020981,0.015335317006179903,0.017166399633783476,0.01907377737087053,0.02059967956054017,0.021515220874341955,0.022125581750209813,0.02281223773556115,0.02349889372091249,0.024338139925230793,0.024795910582131684,0.025482566567483024,0.026169222552834364,0.027008468757152668,0.027695124742504004,0.028458075837338826,0.029068436713206684,0.029831387808041506,0.030518043793392843,0.0311284046692607,0.03189135576409552,0.03341725795376516,0.0341039139391165,0.03471427481498436,0.03555352101930266,0.036240177004654005,0.03677424277103838,0.03761348897535668,0.038452735179674985,0.03906309605554284
darcy,0.2815330525545875,1.1307929891821504,1.1460665012207236,1.1588580675530287,1.167385778441232,1.1719217948711274,1.1747372533448555,1.177724558364221,1.1805372806227146,1.1837595179993026,1.1854251668585851,1.1878114332632759,1.1900724728595573,1.1926798361604793,1.1946955963683294,1.1968212416277249,1.1984414184868548,1.2003734068770566,1.2020296039245584,1.203440438446504,1.205128039549309,1.2082720635216588,1.2095950856898898,1.2107271661972105,1.212220309935005,1.2133905345486447,1.2142704959801096,1.2156028050149985,1.2168769577031264,1.217769226560012
darcy avg,1.19
pg1value,5
pg2value,5
pg1offset,0.0
pg2offset,0.0
frazierflow1,462.30307801391035
frazierpressure1,0.024795910582131684
frazier,17.18509
gurley,0.00957
gurleyflow,-2.727023531742E10
frazierflow,330.14
