permeability
testname,permeability
dpressureoriginal,0.0,0.002059967956054017,0.0021362630655374993,0.00976577401388571,0.010070954451819639,0.010223544670786603,0.010681315327687495,0.010757610437170977,0.011062790875104906,0.01121538109407187,0.011367971313038834,0.011520561532005799,0.011902037079423208,0.012207217517357137,0.012359807736324101,0.012588693064774548,0.012817578393224994,0.01297016861219196,0.013275349050125887,0.013427939269092852,0.01373311970702678,0.014038300144960708,0.014267185473411154,0.01441977569237812,0.014724956130312047,0.014801251239795529,0.015106431677729458,0.015411612115663387,0.015487907225146869,0.015793087663080796,0.01602197299153124,0.016327153429465172,0.016556038757915618,0.01670862897688258,0.016937514305333027,0.017242694743266958,0.017471580071717403,0.01777676050965133,0.017853055619134812,0.018234531166552225,0.01846341649500267,0.018616006713969634,0.01892118715190356,0.019226367589837492,0.01953154802777142,0.01991302357518883,0.020447089341573205,0.020523384451056687,0.020981155107957578,0.02128633554589151,0.02136263065537499,0.021667811093308918,0.022125581750209813,0.022507057297627222,0.022659647516594186,0.023041123064011598,0.023193713282978562,0.02349889372091249,0.02357518883039597,0.024032959487296866,0.02418554970626383,0.02456702525368124,0.024795910582131684,0.02532997634851606,0.025558861676966506,0.025635156786449988,0.02594033722438392,0.026321812771801328,0.02647440299076829,0.02677958342870222,0.026855878538185704,0.027237354085603113,0.027618829633020522,0.028000305180437935,0.028534370946822308,0.02868696116578927,0.02883955138475624,0.029221026932173648,0.029602502479591057,0.02975509269855802,0.030136568245975433,0.030212863355458915,0.030594338902876324,0.030746929121843288,0.0311284046692607,0.03143358510719463,0.031738765545128556,0.03204394598306248,0.032272831311512935,0.03257801174944686,0.03295948729686427,0.03318837262531472,0.03341725795376516,0.03372243839169909,0.03418020904859999,0.034409094377050434,0.03471427481498436,0.034866865033951325,0.035248340581368734,0.03547722590981918,0.03578240634775311,0.03616388189517052,0.03639276722362097,0.03685053788052186,0.03700312809948882,0.03723201342793927,0.03799496452277409,0.03807125963225757,0.03830014496070802,0.03860532539864195,0.03898680094605936,0.03913939116502632
dflow,32.767204864423825,185.47472285508692,194.54645659710653,205.13014596279604,214.20187970481564,217.22579095215548,220.24970219949537,227.80948031784501,233.85730281252475,236.8812140598646,241.41708093087442,245.9529478018842,248.9768590492241,255.02468154390377,258.04859279124366,264.09641528592334,270.1442377806031,274.68010465161285,277.7040158989528,283.75183839363245,285.2637940173024,291.31161651198215,297.3594390066619,298.8713946303318,304.9192171250115,309.4550839960213,315.50290649070104,320.0387733617108,323.0626846090507,327.59855148006045,333.64637397474024,338.18224084575,344.23006334042975,345.74201896409966,353.30179708244935,357.8376639534591,360.861575200799,366.9093976954787,372.95722019015847,379.00504268483814,386.5648208031878,397.14851016887735,398.66046579254726,407.73219953456686,413.7800220292466,415.29197765291656,421.33980014759624,430.4115338896159,437.9713120079655,440.99522325530535,448.55500137365505,451.5789126209949,457.6267351156746,459.13869073934455,468.21042448136416,471.234335728704,478.79411384705367,483.32998071806344,493.913670083753,498.4495369547628,499.9614925784327,506.0093150731125,513.5690931914621,516.5930044388019,522.6408269334817,524.1527825571517,531.7125606755013,539.272338793851,546.8321169122006,557.41580627789,560.43971752523,563.4636287725699,571.0234068909195,578.5831850092692,581.607096256609,589.1668743749586,590.6788299986287,598.2386081169783,601.2625193643181,608.8222974826678,614.8701199773475,620.9179424720272,626.965764966707,631.5016318377168,637.5494543323965,645.1092324507462,649.645099321756,654.1809661927657,660.2287886874454,669.3005224294651,673.8363893004749,679.8842117951546,682.9081230424945,690.4679011608441,695.0037680318538,701.0515905265336,708.6113686448833,713.1472355158932,722.2189692579127,725.2428805052525,729.7787473762623,744.8983036129616,746.4102592366315,750.9461261076415,756.9939486023211,764.5537267206707,767.5776379680107
dpressure,0.002059967956054017,0.00976577401388571,0.010223544670786603,0.010757610437170977,0.01121538109407187,0.011367971313038834,0.011520561532005799,0.011902037079423208,0.012207217517357137,0.012359807736324101,0.012588693064774548,0.012817578393224994,0.01297016861219196,0.013275349050125887,0.013427939269092852,0.01373311970702678,0.014038300144960708,0.014267185473411154,0.01441977569237812,0.014724956130312047,0.014801251239795529,0.015106431677729458,0.015411612115663387,0.015487907225146869,0.015793087663080796,0.01602197299153124,0.016327153429465172,0.016556038757915618,0.01670862897688258,0.016937514305333027,0.017242694743266958,0.017471580071717403,0.01777676050965133,0.017853055619134812,0.018234531166552225,0.01846341649500267,0.018616006713969634,0.01892118715190356,0.019226367589837492,0.01953154802777142,0.01991302357518883,0.020447089341573205,0.020523384451056687,0.020981155107957578,0.02128633554589151,0.02136263065537499,0.021667811093308918,0.022125581750209813,0.022507057297627222,0.022659647516594186,0.023041123064011598,0.023193713282978562,0.02349889372091249,0.02357518883039597,0.024032959487296866,0.02418554970626383,0.02456702525368124,0.024795910582131684,0.02532997634851606,0.025558861676966506,0.025635156786449988,0.02594033722438392,0.026321812771801328,0.02647440299076829,0.02677958342870222,0.026855878538185704,0.027237354085603113,0.027618829633020522,0.028000305180437935,0.028534370946822308,0.02868696116578927,0.02883955138475624,0.029221026932173648,0.029602502479591057,0.02975509269855802,0.030136568245975433,0.030212863355458915,0.030594338902876324,0.030746929121843288,0.0311284046692607,0.03143358510719463,0.031738765545128556,0.03204394598306248,0.032272831311512935,0.03257801174944686,0.03295948729686427,0.03318837262531472,0.03341725795376516,0.03372243839169909,0.03418020904859999,0.034409094377050434,0.03471427481498436,0.034866865033951325,0.035248340581368734,0.03547722590981918,0.03578240634775311,0.03616388189517052,0.03639276722362097,0.03685053788052186,0.03700312809948882,0.03723201342793927,0.03799496452277409,0.03807125963225757,0.03830014496070802,0.03860532539864195,0.03898680094605936,0.03913939116502632
darcy,49.55670600516906,59.169998785908504,59.28506849408642,59.40693901244031,59.502161458267864,59.53219806869668,59.561439007326065,59.63126112039944,59.68397681576983,59.709358446874084,59.74627718302575,59.781877392886265,59.80491282279602,59.84939503227691,59.87087791753758,59.91241149570818,59.95213926613224,59.980819742106824,59.99943423092281,60.035505831011754,60.04429131093033,60.078545808390636,60.11144369209013,60.11946558983951,60.15077811825257,60.173479701352036,60.2027583786205,60.224009031476626,60.23785268356556,60.25815047075003,60.28437593029808,60.3034437862577,60.32810378881491,60.33413705867131,60.363546093745455,60.38060819508598,60.39174984049687,60.41349401944394,60.43454790699586,60.4549438605618,60.47955966658964,60.51247871465075,60.51704157792422,60.543721883901476,60.5608712323074,60.5650820098178,60.58162858623183,60.60559259345219,60.62481795517698,60.63232685066544,60.65066397127057,60.65782992498073,60.671882639399364,60.67533897045378,60.69561611263971,60.702204584706436,60.718317695739174,60.72774758410357,60.749087913795684,60.757960758763616,60.76088316405066,60.77240087900555,60.78642244503758,60.791917929130804,60.80272101751923,60.80538342637634,60.81847173882506,60.83119849568127,60.84357847442151,60.860354338660954,60.86503271417455,60.86966158306894,60.88102225346251,60.89209012307271,60.89643780928883,60.907114405819534,60.90921737180287,60.91957487259355,60.92364591012515,60.9336488883738,60.94147646164411,60.949153504659215,60.956684318283564,60.962238960956824,60.96952373823324,60.978440002087225,60.983691374039815,60.98887080939032,60.99566735351544,61.005634606841774,61.01051878197509,61.01693082727828,61.02009475772878,61.02788473800461,61.03247831347048,61.038511666321185,61.04591016071879,61.05027480709928,61.05884144223115,61.06164988550119,61.06581938785598,61.07935492093549,61.080678636394964,61.08461814017278,61.08979814645769,61.09615911307958,61.09866878100214
darcy avg,60.54
pg1value,5
pg2value,5
pg1offset,0.0
pg2offset,0.0
frazierflow1,241.41708093087442
frazierpressure1,0.012588693064774548
frazier,866.14097
gurley,5.0E-5
gurleyflow,1.02612509222E9
frazierflow,352.62
