permeability
testname,permeability
sample,sintered disk
samplediameter,2.3
thikness,1.6
fluidname,Nitrogen
fluidvalue,0.0185
lotno,1
duration,111:59:26
durationsecond,403166
testtime,10:24:22
testdate,22/07/2019
customerid,N0048
indistry,Filtration
application,air filter
materialclassification,Consolidate
splate,Medium
darcy avg,2645.34
dflow,-11.766842643727282,-10.119778634894073,-10.119778634894073,-10.119778634894073,831.8477656923861,1642.9039495621678,5697.819414688921,17073.122101187288,29259.240435764088,41197.13905775198,52806.517669091016,62578.20181373889,72972.30714968198,82798.67563819274,92031.028182293,102697.28740225134,114181.06898519088,121392.81173210303,130640.1284036213,139979.82765031004,148589.3572852491,156755.93434290646
dpressure,0.0,3.0518043793392844E-4,3.0518043793392844E-4,3.0518043793392844E-4,0.05317769130998703,0.08194094758525979,0.18799114976729991,0.4599069199664301,0.7981994354161899,1.19150072480354,1.6394293125810635,2.040665293354696,2.5229266803997863,3.0306706340123597,3.5012588693064775,4.157549401083391,4.94697489890898,5.523765926604105,6.114290074006256,6.717021438925765,7.270923933775845,7.824826428625925
dfloworiginal,-11.766842643727282,-10.119778634894073,-10.119778634894073,-10.119778634894073,831.8477656923861,1642.9039495621678,5697.819414688921,17073.122101187288,29259.240435764088,41197.13905775198,52806.517669091016,62578.20181373889,72972.30714968198,82798.67563819274,92031.028182293,102697.28740225134,114181.06898519088,121392.81173210303,130640.1284036213,139979.82765031004,148589.3572852491,156755.93434290646
darcy,2093.9933426959074,2093.9933426959074,2093.9933426959074,1544.2074291903823,1953.6139007274667,3258.2672385942,3867.7043592528585,3842.523818875552,3623.223929456926,3363.7594100510673,3220.962130526602,3020.294740329745,2865.686531622358,2749.555486787605,2586.8943135868544,2416.3598070202524,2301.021027046975,2237.0245325875644,2181.901105015353,2139.6525049847014,2097.4642754987376
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurley,2500.2
frazier,75.05
