permeability
testname,permeability
sample,Q NO 3879
samplediameter,4.3
thikness,0.0085
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3879
duration,2 min:25 sec
durationsecond,145
testtime,15:55:08
testdate,25/09/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,
splate,Large
darcy avg,29.53
dfloworiginal,0.0,15.259021896696423,140.3830014496071,555.4283970397497,778.2101167315175,915.5413138017853,1013.1990539406424,1153.5820553902495,1699.8550392919815,3082.322423132677,5865.568017090104,10650.797283894102,16440.070191500723,21933.318074311435,26871.1375600824,32684.824902723736,38651.102464332034,44122.987716487376,50247.95910582132,55350.5760280766,60245.67025253681,65381.857022964825,71216.90699626155,76792.55359731441,81425.19264515144,86091.4015411612
dflow,890.7202788502414,1297.563698100584,1573.1440851867849,1637.8605099916472,1670.2007362429085,1686.3663540933255,1702.528975574582,1718.6886010474154,1847.8577918152473,2586.8693036942504,4516.450241307359,8647.462793398232,14022.00680802581,18901.40596396461,24747.1783846218,32891.62531791978,39093.89182187021,45699.876462295455,52015.76732877491,56501.72902857606,60827.725948381005,65008.8683304697,70643.13155964823,74896.72221362988,80557.55118316063,87742.51010174409
dpressure,0.0,0.0019073777370870527,0.0032043945983062485,0.003509575036240177,0.0036621652552071412,0.0037384603646906235,0.0038147554741741053,0.0038910505836575876,0.004501411459525444,0.00801098649576562,0.01731898985275044,0.03799496452277409,0.06660563057907988,0.09452964065003433,0.1309224078736553,0.1884489204242008,0.23941405355916687,0.30334935530632484,0.3778896772716869,0.4420538643472953,0.5151445792324711,0.5960173952849622,0.7103074692912185,0.7889677271686885,0.8767071030746929,0.9647516594186313
darcy,1.2730720748285758,6.971585171680297,25.184686697695735,33.81597698763404,38.97159412740538,42.26599288430872,47.178553361294284,60.09331743046753,61.22870455127913,53.89525391675159,44.608650011563554,39.27857541295268,36.923200168656074,32.66142080089047,27.600408747801715,25.690659381300048,23.146473915834445,21.160036050931257,19.9255335011787,18.61057155597668,17.456666750593577,15.955107378195297,15.488982022488857,14.77975634344323,14.200618122148724
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurleyflow,31506.53
frazierflow,4696.82
gurley,13829.69
frazier,636.67
