permeability
testname,permeability
sample,Q NO 3879
samplediameter,4.3
thikness,0.0085
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3879
duration,1 min:8 sec
durationsecond,68
testtime,16:00:12
testdate,25/09/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,
splate,Large
darcy avg,21.83
dfloworiginal,0.0,15.259021896696423,12.207217517357137,155.6420233463035,534.0657663843748,860.6088349736782,985.7328145265889,1138.323033493553,1416.037232013428,2175.9365224689095,3784.237430380713,6643.778133821622,10968.184939345389,16253.910124361028,21301.594567788205,26401.159685664148,31989.01350423438,37479.20958266575,42829.02265964752,48062.86717021439,53235.67559319448,58631.265735866335,64023.80407415885,69910.73472190433,75062.18051422904,79685.66414892806,84122.98771648738,88325.32234683757,92759.59411001756,97386.1295490959,101991.30235751889,106861.98214694439,111485.46578164339,115715.26665140764,119810.78812848097,123665.21705958647
dflow,1404.2176156921832,1618.320436903528,1703.8606549916901,1789.3432504465802,1810.7048989340392,1832.062948113709,1842.740623094797,1864.0932741028291,2002.7978170336141,2396.7412121563834,3497.4738990091178,5556.133803945034,9591.313212840801,13704.389298558166,17736.21301426013,23768.245402668254,29428.144170790045,35681.12775818853,41337.13640774955,47876.73736306288,54910.846636495284,59064.08734390828,67574.31413340366,72206.6655046237,76323.47608407351,80387.8753351983,84170.77488440703,88213.15061665713,92304.49580089306,96696.69054602405,100519.00654309653,105869.91410844654,110126.48775208513,115438.69980736547,119876.84984684535,125555.0388949803
dpressure,0.0,0.0015259021896696422,0.0021362630655374993,0.002746623941405356,0.0028992141603723202,0.0030518043793392844,0.0031280994888227666,0.0032806897077897307,0.0042725261310749985,0.007095445181963836,0.015030136568245976,0.03006027313649195,0.06027313649195087,0.09216449225604639,0.12458991378652629,0.17547875181200884,0.22613870450904097,0.28587777523460745,0.34386205844205386,0.41641870756084537,0.5024032959487297,0.5577935454337377,0.6845197222858015,0.7624933241779202,0.838101777676051,0.9192034790569924,1.0007629510948348,1.0942244602121005,1.1943999389639124,1.3056382085908294,1.402609292744335,1.5335317006179905,1.6307316700999466,1.741741054398413,1.8258182650492103,1.9230182345311666
darcy,1.5913400935357198,0.9093371963061254,9.017593863369077,29.314159617763256,44.8757906377073,50.1466195328817,55.215800454774275,52.74155738575528,48.801096201762064,40.06622773572168,35.17103942768794,28.958360993252537,28.06449449725577,27.207725297928537,23.942057650743497,22.5106975174648,20.862821124859543,19.820605167677208,18.367178551186555,16.862163457334606,16.727028246208864,14.883960687599584,14.590521858201429,14.252380861394471,13.795312477526952,13.376622605264044,12.845227998078594,12.358679563850067,11.869632145110348,11.571493891637022,11.089027804029207,10.879244868897423,10.572314569467588,10.442425428459961,10.23357004884022
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurleyflow,24057.94
frazierflow,3934.51
gurley,10560.16
frazier,533.34
